site,height,sasdate,latitude,longitude,hour,episode,weekdep,hourinches,siteName,datetime
IN21,100,29JUL09,38.8,-85.4,0,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.841,-85.381,-1,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.871,-85.372,-2,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.891,-85.375,-3,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.901,-85.394,-4,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.898,-85.429,-5,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.875,-85.477,-6,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.827,-85.534,-7,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.757,-85.599,-8,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.667,-85.665,-9,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.557,-85.719,-10,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.424,-85.756,-11,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.289,-85.79,-12,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.17,-85.838,-13,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.071,-85.901,-14,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.982,-85.97,-15,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.879,-86.036,-16,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.753,-86.101,-17,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.619,-86.168,-18,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.499,-86.237,-19,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.392,-86.308,-20,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.281,-86.381,-21,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,37.148,-86.457,-22,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.995,-86.532,-23,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.835,-86.597,-24,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.686,-86.651,-25,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.554,-86.699,-26,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.44,-86.749,-27,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.34,-86.809,-28,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.253,-86.881,-29,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.175,-86.963,-30,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.104,-87.051,-31,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,36.041,-87.142,-32,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.983,-87.236,-33,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.921,-87.339,-34,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.853,-87.447,-35,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.794,-87.553,-36,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.761,-87.65,-37,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.752,-87.74,-38,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.749,-87.82,-39,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.734,-87.889,-40,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.707,-87.946,-41,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.683,-88,-42,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.673,-88.056,-43,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.678,-88.114,-44,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.69,-88.184,-45,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.701,-88.275,-46,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.711,-88.385,-47,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,35.724,-88.489,-48,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.8,-85.4,0,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.85,-85.395,-1,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.854,-85.411,-2,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.842,-85.45,-3,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.839,-85.512,-4,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.84,-85.596,-5,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.825,-85.698,-6,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.781,-85.811,-7,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.712,-85.936,-8,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.615,-86.047,-9,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.486,-86.118,-10,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.327,-86.148,-11,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.173,-86.169,-12,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,38.056,-86.213,-13,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,37.974,-86.283,-14,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,37.892,-86.363,-15,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,37.769,-86.437,-16,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,37.6,-86.514,-17,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,37.418,-86.622,-18,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,37.247,-86.768,-19,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,37.081,-86.943,-20,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,36.906,-87.136,-21,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,36.714,-87.326,-22,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,36.503,-87.5,-23,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,36.292,-87.661,-24,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,36.112,-87.819,-25,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.972,-87.964,-26,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.859,-88.107,-27,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.759,-88.267,-28,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.66,-88.444,-29,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.558,-88.619,-30,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.455,-88.767,-31,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.348,-88.879,-32,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.237,-88.968,-33,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.13,-89.044,-34,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,35.032,-89.101,-35,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.947,-89.147,-36,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.878,-89.193,-37,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.824,-89.238,-38,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.776,-89.281,-39,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.723,-89.322,-40,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.666,-89.361,-41,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.611,-89.397,-42,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.566,-89.434,-43,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.53,-89.47,-44,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.502,-89.537,-45,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.48,-89.659,-46,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.458,-89.824,-47,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,300,29JUL09,34.424,-90.002,-48,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.8,-85.4,0,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.871,-85.402,-1,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.862,-85.432,-2,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.819,-85.491,-3,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.795,-85.57,-4,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.786,-85.665,-5,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.768,-85.773,-6,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.722,-85.891,-7,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.649,-86.011,-8,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.543,-86.109,-9,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.401,-86.168,-10,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.223,-86.192,-11,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,38.047,-86.214,-12,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,37.905,-86.267,-13,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,37.789,-86.356,-14,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,37.663,-86.471,-15,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,37.5,-86.607,-16,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,37.305,-86.789,-17,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,37.103,-86.994,-18,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,36.912,-87.197,-19,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,36.723,-87.433,-20,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,36.531,-87.697,-21,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,36.336,-87.958,-22,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,36.15,-88.226,-23,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.999,-88.506,-24,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.897,-88.782,-25,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.833,-89.063,-26,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.777,-89.352,-27,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.7,-89.644,-28,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.597,-89.932,-29,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.475,-90.21,-30,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.347,-90.477,-31,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.22,-90.738,-32,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,35.1,-90.99,-33,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.986,-91.232,-34,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.879,-91.458,-35,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.778,-91.67,-36,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.688,-91.864,-37,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.615,-92.035,-38,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.547,-92.172,-39,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.473,-92.268,-40,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.392,-92.324,-41,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.308,-92.349,-42,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.225,-92.359,-43,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.143,-92.363,-44,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.071,-92.398,-45,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,34.021,-92.485,-46,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,33.986,-92.608,-47,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,500,29JUL09,33.949,-92.737,-48,July-Aug 2009,1640,0.12,Clifty Falls State Park,29JUL09:07:00
IN21,100,29JUL09,38.8,-85.4,0,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.839,-85.418,-1,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.891,-85.414,-2,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.957,-85.388,-3,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.025,-85.358,-4,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.076,-85.339,-5,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.108,-85.33,-6,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.126,-85.331,-7,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.131,-85.344,-8,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.124,-85.369,-9,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.101,-85.406,-10,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,39.055,-85.46,-11,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.981,-85.529,-12,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.886,-85.598,-13,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.774,-85.653,-14,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.643,-85.694,-15,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.503,-85.735,-16,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.375,-85.789,-17,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.261,-85.856,-18,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.154,-85.927,-19,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,38.038,-85.994,-20,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.906,-86.059,-21,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.772,-86.124,-22,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.649,-86.191,-23,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.539,-86.258,-24,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.427,-86.325,-25,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.302,-86.39,-26,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.167,-86.449,-27,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,37.033,-86.496,-28,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.909,-86.531,-29,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.794,-86.561,-30,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.686,-86.59,-31,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.578,-86.629,-32,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.477,-86.679,-33,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.389,-86.736,-34,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.315,-86.797,-35,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.251,-86.863,-36,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.196,-86.937,-37,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.148,-87.02,-38,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.101,-87.113,-39,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.062,-87.209,-40,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.04,-87.304,-41,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.038,-87.397,-42,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.041,-87.484,-43,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.035,-87.563,-44,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,36.016,-87.634,-45,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,35.996,-87.698,-46,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,35.986,-87.761,-47,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,100,29JUL09,35.988,-87.821,-48,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.8,-85.4,0,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.866,-85.423,-1,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.964,-85.414,-2,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.089,-85.378,-3,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.192,-85.352,-4,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.247,-85.35,-5,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.265,-85.365,-6,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.265,-85.401,-7,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.26,-85.467,-8,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.248,-85.561,-9,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.214,-85.675,-10,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.146,-85.8,-11,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,39.048,-85.937,-12,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.934,-86.057,-13,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.805,-86.141,-14,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.653,-86.192,-15,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.501,-86.228,-16,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.379,-86.276,-17,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.288,-86.341,-18,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.201,-86.412,-19,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,38.092,-86.475,-20,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,37.952,-86.531,-21,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,37.798,-86.589,-22,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,37.652,-86.654,-23,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,37.518,-86.73,-24,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,37.382,-86.82,-25,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,37.228,-86.928,-26,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,37.051,-87.049,-27,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,36.865,-87.164,-28,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,36.694,-87.264,-29,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,36.549,-87.351,-30,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
IN21,300,29JUL09,36.423,-87.441,-31,July-Aug 2009,1640,0.11,Clifty Falls State Park,29JUL09:11:00
